id,Date,MSFT,AMZN,TSLA,GOOGL,GOOG,UNH,JNJ,XOM,JPM,META,V,PG,NVDA,HD,CVX,LLY,MA,ABBV,PFE,MRK,PEP,BAC,KO,COST,AVGO,TMO,WMT,CSCO,MCD,ACN,ABT,DIS,DHR,WFC,BMY,LIN,NEE,TXN,ADBE,VZ,CMCSA,PM,COP,AMGN,RTX,HON,CRM
205,9/30/2019,134.7041626,86.79550171,16.05800056,61.05699921,60.95000076,207.3736877,118.8904877,58.54361343,106.5406952,178.0800018,168.3563232,114.8023987,43.33537292,215.2082977,101.9376526,105.9294891,266.9055176,64.94971466,30.23448563,72.76796722,125.1864471,27.08947182,49.19606018,273.8522949,247.968811,289.3294678,113.0452499,44.65699005,199.0328369,183.6934967,79.46025085,129.543869,142.8265686,46.29797363,45.86074066,184.0959778,54.50858307,118.3948898,276.25,51.91175461,41.99771881,64.14661407,50.38687134,175.8930664,79.28517914,158.4826965,148.4400024
206,10/1/2019,132.8051453,86.78250122,16.31266785,60.29999924,60.25500107,207.2687836,119.4510193,57.16728973,104.6034164,175.8099976,170.5878906,114.3132172,43.31793594,214.3363953,99.71155548,105.1054001,266.286377,62.81389999,29.8137455,72.27523804,125.432991,26.41153908,49.3858223,269.8792419,246.8730164,285.48526,112.2546463,43.14764023,193.7583466,181.08638,77.72231293,128.7784576,140.3444366,45.03129959,45.80648041,179.1828003,54.28398514,117.7994308,272.7099915,51.47313309,41.67012405,65.75174713,48.76861954,175.6022339,77.69970703,153.7900238,147.6900024
207,10/2/2019,130.4604492,85.66149902,16.20866776,58.89599991,58.83150101,206.8298187,121.2980652,55.6748848,102.5212936,174.6000061,166.2226105,111.7565155,43.07895279,209.2070923,96.51416016,101.3543396,259.9372864,61.8703537,29.19946289,70.55500793,122.3010406,25.85433197,47.9670639,271.0007629,242.5795288,277.6676331,110.6067963,42.08114243,191.2091217,176.5310364,75.52854919,128.3708954,135.5878601,44.48974991,44.50417709,174.9634247,53.60084915,116.1962738,266.6600037,50.66470718,41.23020935,64.81401825,46.92929077,171.9845428,75.77159882,150.8769989,144.2200012
208,10/3/2019,132.0397644,86.22100067,15.53533268,59.4715004,59.39149857,205.503418,120.5537262,56.36304855,102.3752975,179.3800049,169.1980438,112.3657074,45.13779831,210.3757629,97.25333405,101.6290359,263.6818237,63.34570313,29.83057594,71.5231781,125.9443359,25.82647324,48.65385437,274.6983032,246.4957886,281.025116,110.7877655,42.85520172,194.6945953,177.4478455,76.99103546,127.3867874,137.2689362,44.49892044,45.18815613,175.467041,53.84884262,117.9002075,272.3999939,50.7507019,41.2395668,64.85624695,47.45103455,175.0840759,76.20135498,151.2891541,147
209,10/4/2019,133.822464,86.98249817,15.42866707,60.54800034,60.45000076,209.7402191,122.8234787,57.18387604,104.59272,180.4499969,172.2419891,114.4516754,45.30210495,211.4146118,97.85500336,102.4910355,269.3527527,64.0404892,30.23448563,73.47679138,128.0901184,26.34653282,49.28642273,277.2362366,252.7832336,290.3525696,112.5499268,43.27409363,196.2333679,181.1054688,77.86476135,129.4941711,140.0774384,45.16897964,46.28252792,176.9305725,54.6489563,119.2193527,276.9599915,51.51613998,41.8479538,66.13191223,47.30953979,177.7837219,77.36286163,153.2655029,148.0299988
210,10/7/2019,132.8535919,86.63300323,15.84799957,60.41249847,60.38399887,211.1143341,122.3640137,56.39621353,104.3645859,179.6799927,171.1849518,113.3809891,45.88963318,210.3108368,97.34789276,102.1405487,267.5148315,63.75743103,30.15034294,72.94947815,126.3186874,26.29080772,48.68096161,278.8901062,247.9778137,287.2334595,111.6640778,43.50175858,196.446579,178.402832,76.96256256,130.1204071,138.1293182,44.80183029,46.40108109,179.211319,54.40564346,118.0376205,276.8999939,51.81715393,41.73563766,65.19418335,48.28225708,179.2198639,77.06087494,152.8440094,148.8000031
211,10/8/2019,131.4487,85.27549744,16.00333214,59.50650024,59.45650101,210.036026,121.1510239,55.30178452,102.037674,177.75,168.7576141,111.6180801,44.1220665,210.2459259,96.01565552,101.5343246,262.8014526,63.0712204,29.8137455,71.99861145,125.31427,25.65930939,48.41890335,277.4453125,242.8131256,270.1182556,111.9974747,42.24505997,195.6957397,174.0003052,74.55986786,127.7048874,134.1143646,43.89312744,45.92686081,174.9634247,53.80205154,114.4923782,270.8299866,51.36133575,41.28636551,64.51833344,47.6632576,178.2290955,75.95745087,148.5728455,145.9100037
212,10/9/2019,133.9387512,86.09950256,16.30200005,60.11999893,60.1155014,211.9158478,118.7434616,55.91533279,102.776825,179.8500061,171.165329,112.5872116,44.98843002,212.3514557,97.24474335,101.6385193,267.8887939,62.87393951,30.03253937,72.76796722,125.8712921,25.90076637,48.64482117,282.2072754,245.3460236,274.6677551,113.2833786,42.65486526,197.2901459,176.0439911,75.50005341,128.5597687,135.6768188,44.19602203,46.35548401,178.0804443,54.59514999,116.7459488,274.269989,51.46126938,41.53907776,65.4307251,48.58292007,178.7835693,76.63691711,149.7155457,147.0500031
213,10/10/2019,134.7720032,86.01300049,16.31599998,60.4734993,60.43349838,213.4903107,118.5964279,56.58692551,104.2185898,180.0299988,171.165329,112.5503006,45.56599808,214.8279877,98.49103546,101.2785721,269.4533386,63.86036301,30.11667633,72.4048996,125.9077759,26.42082214,48.49118805,282.4354553,246.5137329,278.7901306,113.9310837,42.02650833,196.2982635,175.5569305,76.10784149,128.5697021,137.2194977,44.65496445,46.3098793,181.7296753,54.27696991,117.0115891,274.980011,51.99134827,41.65139771,65.68416595,49.41415787,180.5924072,77.77521515,150.7739716,146.4100037
214,10/11/2019,135.3339233,86.59600067,16.52599907,60.78549957,60.77249908,211.906311,120.6824036,57.19215775,105.979744,184.1900024,173.2990417,111.7657394,46.30289841,217.6569824,99.83187866,102.6425781,271.5001831,64.07791138,30.385952,72.90625763,125.6795197,26.84801674,48.16587067,282.8726807,252.3161469,281.7502441,114.5311737,42.39986801,193.7583466,176.6456451,75.92668152,129.2456665,137.1799469,45.16897964,47.06681824,184.5996552,53.70145416,119.1735535,278.2900085,52.07824707,42.63418961,65.85314178,49.9005127,182.5194092,79.07029724,153.1718445,149.3699951
